date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,conservative_portfolio_value,conservative_portfolio_return
2021-06-16,642775.0602388289,445424.7988896644,27409.903133506006,0.0,61925.69143974551,1177535.4537017448,-0.003951160534441556
2021-06-17,644522.8123342277,445277.0470195738,27158.114382859145,0.0,62691.2403053274,1179649.214041988,0.0017950715059986688
2021-06-18,645454.7630995653,440777.00724706583,26626.98882093221,0.0,62239.297898772485,1175098.0570663356,-0.003858059600665653
2021-06-21,645513.0040842887,445558.6812673126,27342.138241920664,0.0,62838.79195051156,1181252.6155440335,0.00523748502577126
2021-06-22,645746.0630329454,447940.69139824103,27032.721461424782,0.0,63438.314711589126,1184157.7906042004,0.0024594020126922356
2021-06-23,644988.6927071336,447400.81722736504,26865.657967218824,0.0,63493.659138868774,1182748.8270405864,-0.0011898444403217745
2021-06-24,645396.5696197235,450047.4840104643,27124.210210124722,0.0,63761.14404560694,1186329.4078859193,0.003027338318560835
2021-06-25,644464.3813299784,451646.05163095094,27179.89531475189,0.0,63899.4871704695,1187189.8154461507,0.0007252686770740091
2021-06-28,645454.7630995653,452556.5921649065,26969.075265038424,0.0,64434.43545194196,1189414.8659814524,0.0018742163269531709
2021-06-29,645513.0040842887,452800.06024308107,26984.98763216746,0.0,64698.62383759701,1189996.6757971344,0.0004891563341962168
2021-06-30,646386.8563795474,453181.22063176753,26754.279577640034,0.0,64496.33996306723,1190818.6965520224,0.0006907756732490444
2021-07-01,647472.403728153,455690.295365746,26913.390160411254,0.0,64690.33614059824,1194766.4253949085,0.003315138445774135
2021-07-02,647204.1778658169,459173.3426738139,26988.964905917273,0.0,65401.62435642859,1198768.1098019765,0.0033493445430099467
2021-07-06,648488.4723372665,458336.96214884525,26817.919229766827,0.0,65789.60235682137,1199432.9560727,0.0005546079056384379
2021-07-07,650356.6018023955,459956.7851842556,26984.98763216746,0.0,65955.86531336827,1203254.239932187,0.0031859086747114684
2021-07-08,650882.0057918254,456209.08122401696,26638.92227824654,0.0,65475.515016374644,1199205.5243104636,-0.0033648047830286965
2021-07-09,649714.4783191114,461079.01093539136,27060.562377673476,0.0,66011.2958686634,1203865.3475008397,0.003885758609272205
2021-07-12,649072.2598260642,462730.5834113324,27191.82713600133,0.0,66177.5660025449,1205172.2363759428,0.0010855772847155887
2021-07-13,647671.1508509972,461153.1041034508,27020.78636804556,0.0,66029.76315064894,1201874.8044731424,-0.0027360669315749098
2021-07-14,649597.7113203756,461841.2648718368,27064.536379293506,0.0,66140.61708390457,1204644.1296554105,0.002304171093329588
2021-07-15,651407.4572861366,460263.8858253464,26774.16921851888,0.0,65761.89066784111,1204207.4029978428,-0.0003625358284796709
2021-07-16,651290.7377922822,456653.6736528373,26595.165722739028,0.0,65263.05155685808,1199802.6287247164,-0.0036578202908907897
2021-07-19,652691.9417771124,449909.8919613435,26054.19432229857,0.0,64597.9638439974,1193253.9919047519,-0.005458095075958513
2021-07-20,653800.9907406954,456357.2675601358,26209.32763131998,0.0,65586.36894963027,1201953.9548817812,0.007290956523968495
2021-07-21,652166.3952730381,460052.06692631135,26710.521386067634,0.0,66057.47483962918,1204986.4584250462,0.002522978131523468
2021-07-22,652750.1827618357,461015.51205433,26754.279577640034,0.0,66574.79558726701,1207094.769981073,0.0017496558084000302
