date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,growth_portfolio_value,growth_portfolio_return
2020-12-15,175107.744464456,449513.09834219405,174355.2472773017,98101.43992760452,334396.3049645893,1231473.8349761455,0.010549143711464648
2020-12-16,175123.29364162244,450218.56336422893,175196.72044248358,98721.30964946332,336049.4460936863,1235309.3331914844,0.0031145592430823488
2020-12-17,175262.99267934696,452736.18511228304,176647.49689433983,99471.66573544749,340115.0544683439,1244233.3948897612,0.00722415144004529
2020-12-18,175185.3878000678,452937.7469907029,178032.76651865186,99341.17937132211,338873.9928293044,1244371.0735100491,0.00011065337166926703
2020-12-21,175262.99267934696,449316.0556004396,175617.68932992834,97905.69055066204,338860.1692828201,1236962.597443197,-0.005953590713061785
2020-12-22,175511.31803801825,448558.8557005716,174078.60915505918,97253.20584802337,340379.4674758633,1235781.4562175358,-0.0009548722233821971
2020-12-23,175247.4947772907,448961.98411471455,176399.65760433962,98231.94612248433,338501.10158628965,1237342.1842051188,0.0012629482176889084
2020-12-24,175495.80731718446,450708.5892963526,176840.33986303193,97448.95522496586,339771.748198646,1240265.4399001808,0.002362528112576978
2020-12-28,175511.31803801825,454580.5936638682,178044.93354059002,97612.06979037405,342824.2327272284,1248573.1477600788,0.006698330528799312
2020-12-29,175619.95717774253,453713.3261619487,179337.67839447063,98786.55944177747,342105.9466101404,1249563.4677860797,0.0007931614000971088
2020-12-30,176037.60012879103,454360.61370320944,179102.62495159294,100091.53545730628,341525.8959578956,1251118.2701987952,0.0012442764635798298
2020-12-31,175931.08172762438,456669.2389642933,176987.24212958713,99993.65085345783,342271.69997592905,1251852.9136508917,0.0005871894525044663
2021-01-04,175822.1862123491,450452.1659371303,179278.95184521124,100417.77119837413,337741.43095776415,1243712.5061508287,-0.006502686866240892
2021-01-05,175604.47209446385,453554.4733075069,180894.85223634526,102668.85267682959,339523.1181499631,1252245.7684651087,0.006861121257588421
2021-01-06,175044.4837972537,456266.0717392893,183039.61060346744,101722.75382415441,335421.0130287464,1251493.9329929112,-0.0006003897087383248
2021-01-07,174577.88029448505,463045.048413315,183597.84412457194,102570.98790373556,343376.6362865045,1267168.3970226122,0.012524602490254111
2021-01-08,174391.23889337757,465683.3331284982,184449.85763781352,104854.67114246794,346926.2947844373,1276305.3955865945,0.007210563793613289
