date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,balanced_portfolio_value,balanced_portfolio_return
2022-09-12,294996.5664527313,597855.5640867578,88205.90596520712,52998.790158723714,174454.8576604455,1208511.6843238655,0.00877775996983976
2022-09-13,293479.59307167697,571859.2925168133,85032.07096202415,51401.05519444303,166276.41046064225,1168048.4222055997,-0.03348189565987025
2022-09-14,293606.05106623954,574041.3943707434,85131.26230423052,51674.34777888114,167002.14665106914,1171455.2021711636,0.002916642752815779
2022-09-15,292499.854657684,567524.1581439094,84304.74849837874,51211.84500877264,164713.30540572622,1160253.9117144712,-0.009561859844006038
2022-09-16,292310.21743285883,565562.5543497596,83627.00534518762,50581.15265268566,163178.09506182332,1155259.0248423151,-0.004304994641022408
2022-09-19,292025.8238043945,567562.1475084397,84180.29233534685,50707.292776465925,164462.0915165789,1158937.6479412257,0.0031842409535927096
2022-09-20,290951.2294527249,561047.3110865166,81930.2817123775,50581.15265268566,163150.18958480825,1147660.164489113,-0.00973088023514146
2022-09-21,291520.116243691,551260.4991464845,80884.36506039453,49698.19244325967,160247.25558910263,1133610.4284829323,-0.012242069944490064
2022-09-22,288928.54851096706,546630.0076522081,80419.51975932831,49530.01112009555,158321.28243897314,1123829.3694815722,-0.008628236610746187
2022-09-23,288106.8701484226,537471.3106880584,77215.3521130678,48394.77066310903,155669.5730984168,1106857.8767110747,-0.015101485360118794
2022-09-26,284156.26466854603,532154.2938719591,75920.40020764936,47743.05770733013,154999.64786202007,1094973.6643175045,-0.010736891017013916
2022-09-27,282955.28697284195,530795.8684544675,75555.16508140159,47658.96704574807,154804.26645890676,1091769.5540133659,-0.002926198509199507
2022-09-28,286147.36843692727,541240.0005433521,77647.00492962713,48079.42861647272,158172.0628960599,1111285.8654224393,0.017875852406152193
2022-09-29,284788.38045679335,529934.0668154848,76518.07434507913,47154.41894484853,153967.3928305066,1092362.3333927125,-0.017028500603247787
2022-09-30,283555.8255877127,521739.4122353827,76617.68451989758,47091.348882958395,151728.27974810067,1080732.550974052,-0.010646451331345563
2022-10-03,286306.6836125879,535513.9754676548,78360.87893986922,47743.05770733013,155002.9960886218,1102927.591816064,0.020537033720329667
2022-10-04,286408.76970274386,552107.766117989,81996.69940268908,49193.64021095296,160041.01129003707,1129747.886724412,0.024317366894581083
2022-10-05,285172.45742374996,550822.3309932541,80718.35682804321,49235.689673151166,159845.07005482318,1125793.9049730217,-0.003499879750033852
2022-10-06,283967.9213862075,545140.0910373431,78958.553077299,48899.318764008574,158613.5578594999,1115579.4421243581,-0.009073119692283638
2022-10-07,282953.49536016805,529934.0668154848,77480.98360875668,47890.22256220949,153295.65890578483,1091554.427252404,-0.021535906780609237
2022-10-10,282129.27887966903,525887.8146186284,77148.94751127536,47301.57966832072,151700.28814307012,1084167.9088209637,-0.006766972170167529
2022-10-11,281590.4264844993,522557.38347524096,76136.23643231837,46481.689520784865,149964.97012120456,1076730.706034048,-0.006859825610410875
2022-10-12,281336.8137571121,520833.68963859975,76036.62625749993,46502.7101204768,149797.04202302507,1074506.8817967135,-0.0020653485824004836
