date,ticker_symbol,close_price,dividend,trading_volume,daily_return,dividend_return,total_return
2022-01-21,BOND,102.1343002319336,0.0,280400,0.22365678468627692,0.0,0.22365678468627692
2022-01-24,BOND,102.14378356933594,0.0,318900,0.009285164122929679,0.0,0.009285164122929679
2022-01-25,BOND,101.98236083984375,0.0,190200,-0.1580348053022873,0.0,-0.1580348053022873
2022-01-26,BOND,101.71646118164062,0.0,254100,-0.26073102839881956,0.0,-0.26073102839881956
2022-01-27,BOND,101.77345275878906,0.0,202100,0.056029846581728826,0.0,0.056029846581728826
2022-01-28,BOND,101.84941101074219,0.0,339500,0.0746346418384336,0.0,0.0746346418384336
2022-01-31,BOND,101.80191040039062,0.0,217100,-0.04663808055458407,0.0,-0.04663808055458407
2022-02-01,BOND,101.61157989501953,0.23,222700,-0.1869616244160044,0.2263521541911124,0.03939052977510801
2022-02-02,BOND,101.8209457397461,0.0,262100,0.2060452607300034,0.0,0.2060452607300034
2022-02-03,BOND,101.63059997558594,0.0,303500,-0.18694165800293705,0.0,-0.18694165800293705
2022-02-04,BOND,101.13573455810547,0.0,330700,-0.4869256086251106,0.0,-0.4869256086251106
2022-02-07,BOND,101.02154541015625,0.0,200400,-0.11290682610666236,0.0,-0.11290682610666236
2022-02-08,BOND,100.81217193603516,0.0,345600,-0.20725625733700737,0.0,-0.20725625733700737
2022-02-09,BOND,100.72649383544922,0.0,163000,-0.08498785309406509,0.0,-0.08498785309406509
2022-02-10,BOND,100.17453002929688,0.0,181300,-0.5479827452885,0.0,-0.5479827452885
2022-02-11,BOND,100.28874206542969,0.0,156100,0.11401304912477261,0.0,0.11401304912477261
2022-02-14,BOND,100.10791778564453,0.0,220600,-0.18030366725229063,0.0,-0.18030366725229063
2022-02-15,BOND,99.84143829345703,0.0,140400,-0.26619222343441384,0.0,-0.26619222343441384
2022-02-16,BOND,99.71772766113281,0.0,216100,-0.1239071015389448,0.0,-0.1239071015389448
2022-02-17,BOND,100.01274871826172,0.0,383500,0.2958561772802071,0.0,0.2958561772802071
2022-02-18,BOND,100.14599609375,0.0,224800,0.13323039032118178,0.0,0.13323039032118178
2022-02-22,BOND,100.16502380371094,0.0,164600,0.018999970745836592,0.0,0.018999970745836592
2022-02-23,BOND,99.86048889160156,0.0,195700,-0.30403318498297693,0.0,-0.30403318498297693
2022-02-24,BOND,99.6891860961914,0.0,234600,-0.17154211571716038,0.0,-0.17154211571716038
2022-02-25,BOND,99.72725677490234,0.0,200900,0.03818937660320376,0.0,0.03818937660320376
2022-02-28,BOND,100.18404388427734,0.0,169100,0.4580363725496195,0.0,0.4580363725496195
2022-03-01,BOND,100.62279510498047,0.23,385300,0.4379452093288716,0.22857643713836354,0.6665216464672351
2022-03-02,BOND,99.93607330322266,0.0,637800,-0.6824714032653834,0.0,-0.6824714032653834
2022-03-03,BOND,99.92654418945312,0.0,310600,-0.009535209313871196,0.0,-0.009535209313871196
2022-03-04,BOND,100.43204498291016,0.0,253400,0.5058723861185888,0.0,0.5058723861185888
2022-03-07,BOND,99.88839721679688,0.0,394900,-0.5413090674453502,0.0,-0.5413090674453502
2022-03-08,BOND,99.48780822753906,0.0,304700,-0.4010365572173269,0.0,-0.4010365572173269
2022-03-09,BOND,99.02999877929688,0.0,180900,-0.4601663825934632,0.0,-0.4601663825934632
2022-03-10,BOND,98.50542449951172,0.0,348600,-0.5297124974768974,0.0,-0.5297124974768974
2022-03-11,BOND,98.42912292480469,0.0,268700,-0.07745926185761531,0.0,-0.07745926185761531
2022-03-14,BOND,97.72332000732422,0.0,535600,-0.717067161128393,0.0,-0.717067161128393
2022-03-15,BOND,97.475341796875,0.0,453200,-0.25375540907802696,0.0,-0.25375540907802696
2022-03-16,BOND,97.475341796875,0.0,243600,0.0,0.0,0.0
2022-03-17,BOND,97.57073974609375,0.0,344500,0.09786880195561398,0.0,0.09786880195561398
2022-03-18,BOND,97.86640167236328,0.0,125500,0.303023147143211,0.0,0.303023147143211
2022-03-21,BOND,97.04615783691406,0.0,314500,-0.8381260794641521,0.0,-0.8381260794641521
2022-03-22,BOND,96.85540771484375,0.0,333600,-0.19655607838784395,0.0,-0.19655607838784395
2022-03-23,BOND,97.14154052734375,0.0,202700,0.2954226503722124,0.0,0.2954226503722124
2022-03-24,BOND,96.86493682861328,0.0,128600,-0.2847429608681229,0.0,-0.2847429608681229
2022-03-25,BOND,96.04469299316406,0.0,644600,-0.8467912769101416,0.0,-0.8467912769101416
2022-03-28,BOND,96.2640609741211,0.0,281700,0.22840198049531857,0.0,0.22840198049531857
2022-03-29,BOND,96.58833312988281,0.0,244300,0.3368569250874254,0.0,0.3368569250874254
2022-03-30,BOND,97.15107727050781,0.0,252100,0.5826212363228889,0.0,0.5826212363228889
2022-03-31,BOND,97.07476806640625,0.0,215700,-0.07854694589652933,0.0,-0.07854694589652933
